RWS_DAU_10,RWS_10,DS_10,GS_10,SD_10,FF_10,DD_10,PP_10,TT_10,TM5_10,RF_10,load
0,0.0,0.8,0.9,0.0,8.8,1570,6108.7,7.4,2.6,467.9,429.09044599966217
0,0.0,0.0,0.0,0.0,9.4,1540,6108.1,4.8,-4.7,485.0,420.96902837508287
0,0.0,0.0,0.0,0.0,13.7,1600,6107.6,3.2,-1.9,512.2,638.2454951249767
7,0.0,0.0,0.0,0.0,12.4,1580,6107.0,2.6,-0.4,532.4,765.9036231752336
60,0.07,0.0,0.0,0.0,16.1,1600,6107.5,3.5,1.7,552.3,855.7003040752418
60,0.48,0.0,0.0,0.0,11.9,1530,6108.7,1.6,0.0,574.4,1360.5123359246531
60,0.26,0.0,0.0,0.0,14.0,1450,6107.2,1.4,0.0,580.2,575.0583810001613
60,0.11,0.0,0.0,0.0,16.9,1440,6105.4,1.9,0.1,580.1,511.3747223000471
60,0.1,0.0,0.0,0.0,19.2,1440,6102.6,2.8,1.7,577.7,448.0775855496686
60,0.14,0.0,0.0,0.0,22.3,1450,6098.8,4.3,2.8,574.8,356.7275463998951
59,0.09,0.0,0.0,0.0,24.6,1510,6094.6,5.3,3.5,569.2,337.32156377530464
60,0.11,0.0,0.0,0.0,23.299999999999997,1520,6091.7,5.8,4.5,569.2,286.0464027253894
46,0.0,0.0,0.0,0.0,25.6,1550,6087.9,6.9,6.2,573.4,293.0908576997522
42,0.05,0.0,0.0,0.0,25.8,1580,6083.5,8.2,7.4,574.8,311.7594386248183
14,0.0,0.0,0.0,0.0,31.2,1610,6080.7,9.9,9.3,576.3,306.736774900372
13,0.0,0.0,0.0,0.0,32.6,1610,6078.8,10.8,10.7,584.3,356.15914342483256
2,0.0,0.0,0.0,0.0,31.200000000000003,1600,6077.8,12.4,12.3,588.6,435.4257147244878
0,0.0,1.7000000000000002,1.7000000000000002,0.0,26.2,1580,6077.3,14.6,14.9,590.1,369.8206905003756
24,0.09,10.0,10.0,0.0,24.1,1560,6075.3,17.1,18.4,593.4,658.5117694248479
2,0.03,6.8,6.8,0.0,27.2,1610,6072.1,22.1,22.4,589.9,672.9929072004663
27,0.06,15.4,15.4,0.0,38.800000000000004,1640,6067.1,30.4,30.7,586.2,550.3121336249986
34,0.14,14.3,14.3,0.0,41.3,1670,6064.1,35.0,34.8,580.8,511.54209139949074
40,0.15,12.6,12.6,0.0,39.7,1690,6060.2,38.5,38.0,578.9,490.8412332002283
60,0.08,6.3,6.3,0.0,42.2,1740,6059.5,40.8,38.9,564.0,482.78185757496294
46,0.1,0.3,0.4,0.0,40.6,1770,6059.7,38.4,34.2,563.5,580.6550538498524
5,0.0,0.0,0.0,0.0,39.7,1780,6061.2,38.6,34.5,554.1,509.51949547498975
0,0.0,0.0,0.0,0.0,44.4,1770,6061.9,38.8,34.3,526.3,965.2822576003925
0,0.0,0.0,0.0,0.0,41.5,1780,6063.1,36.0,30.3,521.7,1067.9374398497998
0,0.0,0.0,0.0,0.0,40.0,1730,6064.2,35.9,31.700000000000003,519.5,1455.676248274898
